"_id","text","tweet_id","created_at","user_location","user_name","retweets","search_term"
"ObjectId(""5e436d38452fef139aa2fc40"")","'Vet Robin Hood: Canine #coronavirus infection https://t.co/DwzAGXQgcd'","1214285081336000514","Mon Jan 06 20:38:18 +0000 2020","Connecticut, USA","DipineHealth","","#coronavirus"
"ObjectId(""5e436d38452fef139aa2fc42"")","'Connaître le Syndrome Respiratoire du Moyen-Orient (#coronavirus #MERS-CoV,)                         https://t.co/inz91z7fVr'","1214249133059563520","Mon Jan 06 18:15:27 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436d38452fef139aa2fc43"")","'Nouveaux cas de Syndrome Respiratoire du Moyen-Orient en Arabie saoudite #Coronavirus #MERS-CoV \nhttps://t.co/NSaIQL6sGN'","1214245501782167554","Mon Jan 06 18:01:01 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436d38452fef139aa2fc44"")","'Hong Kong : cas suspectés de Syndrome Respiratoire du Moyen-Orient (#coronavirus #MERS-CoV)            https://t.co/FHff9sehHh'","1214241734147891200","Mon Jan 06 17:46:03 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436d38452fef139aa2fc45"")","'Vague de pneumonies en Chine : le SRAS écarté https://t.co/0pjXChslv9 #Alaune #coronavirus #épidémie #pneumonie… https://t.co/HjaoBQoo6p'","1214230279734218753","Mon Jan 06 17:00:32 +0000 2020","Nantes, France","destinationsant","","#coronavirus"
"ObjectId(""5e436d38452fef139aa2fc46"")","""Interesting review of what we know (or don't know) about the #pneumonia cases in #Wuhan province. It's neither a  h… https://t.co/MEXIXEymOi""","1214194355180691457","Mon Jan 06 14:37:47 +0000 2020","Singapore","ianwyj","","#coronavirus"
"ObjectId(""5e436d38452fef139aa2fc4b"")","'Latest reports are of a possible #SARS-#MERS hybrid, a new #coronavirus.  ""Pneumonia of unknown cause – China""… https://t.co/Ywmi6b0OWA'","1214056406342602752","Mon Jan 06 05:29:38 +0000 2020","Michigan","Animal_Nurse","","#coronavirus"
"ObjectId(""5e436d6c452fef139aa2fc53"")","'It is still not confirmed if the detected #coronavirus is the causative agent for the ongoing outbreak in #Wuhan. https://t.co/wdnLfdhDCH'","1214935118357389312","Wed Jan 08 15:41:19 +0000 2020","Canada","sci_questions","","#coronavirus"
"ObjectId(""5e436d6c452fef139aa2fc56"")","""AFD Blog `WSJ Report Links Novel #Coronavirus To Wuhan Pneumonia Cluster' https://t.co/5F9yRB8vbX""","1214921445488369666","Wed Jan 08 14:46:59 +0000 2020","West Central Florida","Fla_Medic","","#coronavirus"
"ObjectId(""5e436d6c452fef139aa2fc59"")","'This is paywalled but it seems @WSJ has a scoop about a novel #coronavirus found in some of the Wuhan patients; https://t.co/LwX9EvUA7d'","1214919456658358282","Wed Jan 08 14:39:05 +0000 2020","Hong Kong 🇭🇰","WK_vetepi","","#coronavirus"
"ObjectId(""5e436d6c452fef139aa2fc5a"")","'#pneumonia  #novel #coronavirus https://t.co/rxinC6cRdT'","1214909925287219200","Wed Jan 08 14:01:12 +0000 2020"," USA","marykingsley11","","#coronavirus"
"ObjectId(""5e436d6c452fef139aa2fc5c"")","'#pneumonie en Chine #pneumonia #Wuhan #Coronavirus https://t.co/pfBkpYT21v'","1214908618434338816","Wed Jan 08 13:56:01 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436d6c452fef139aa2fc5d"")","'#pneumonie en Chine #pneumonia #Wuhan #Coronavirus https://t.co/qpk8Uv4WSh'","1214907045570383872","Wed Jan 08 13:49:46 +0000 2020","France","Azeria64Azeria","","#coronavirus"
